SKU,familia,litros,medida_cm,preco,ASIN,categoria_atual,browse_atual,node_alvo,migra,obs,titulo
L2430-AML,LIXEIRA,15,,186.36,B0H6MYJ5P3,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro Meia Lua em Aço Inox 24x30 15 Litros Escritório e Banheiro Design Compacto
L2430-B,LIXEIRA,15,24x30,198.03,B0H6KY3BZD,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno
L2440-A,LIXEIRA,20,24x40,202.69,B0H538CW36,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox Polido 20 Litros 24x40 centímetros Prateada para Uso Interno
L2440-AML,LIXEIRA,20,24x40,228.04,B0H4RY2L65,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro Meia Lua em Aço Inox 20 Litros 24x40 cm Prateada para Uso Interno
L2440-B,LIXEIRA,20,24x40,231.66,B0H5M7DCH6,TRASH_CAN,,17100596011,SIM,,Lixeira Basculante em Aço Inox 20 Litros 24x40 cm Redonda Flip Top para Cozinha e Banheiro
L2450--CZ,CINZEIRO_LIXEIRA,25,24x50,319.58,B0H5YQ9JMJ,TRASH_CAN,FUMAÇA/Cigarros,A DECIDIR (ASHTRAY vs lixeira),SIM,,Cinzeiro Lixeira Aço Inox 25 Litros 24x50 cm Redonda com Aro para Áreas Externas
L2450-A,LIXEIRA,25,24x50,253.58,B0H6XYVBKH,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox 25 Litros 24x50 centímetros Redonda Polida para Uso Interno
L2450-AML,LIXEIRA,25,24x50,259.9,B0H62YWD84,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro Meia Lua em Aço Inox 25 Litros 24x50 cm Prateada para Uso Interno
L2450-B,LIXEIRA,25,,284.39,B0H6KLWTPC,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante Inox 25 Litros 24x50 Redonda Vai e Vem Tampa Flip Top Aço Inox Polido
L2460-A,LIXEIRA,27,24x60,272.57,B0H6QYTSNV,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox 27 Litros 24x60 centímetros Redonda Polida para Uso Interno
L2460-AML,LIXEIRA,27,24x60,290.17,B0H6NM3QBS,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro Meia Lua em Aço Inox 27 Litros 24x60 centímetros Prateada para Uso Interno
L2460-B,LIXEIRA,27,24x60,299.31,B0H6KTGGM8,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox Redonda 27 Litros 24x60 cm Flip Top para Uso Interno
L2460-CP,COLETOR_PILHAS,27,24x60,335.68,B0H4X46QCC,HOME,CASA/LixoRecicl,17100596011? — A CONFIRMAR (reciclagem),SIM,,Coletor de Pilhas e Baterias Usadas Aço Inox 27 Litros 24x60 cm Papa Pilhas para Empresas
L2460-CZ,CINZEIRO_LIXEIRA,27,24x60,318.56,B0H3QHL2VB,ASHTRAY,FUMAÇA/Cigarros,A DECIDIR (ASHTRAY vs lixeira),SIM,,Cinzeiro Lixeira em Aço Inox 27 Litros 24x60 cm Redonda com Aro para Área Externa
L2470-A,LIXEIRA,30,24x70,385.56,B0H6QWF5NS,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox 30 Litros 24x70 centímetros Redonda Polida para Uso Interno
L2470-AML,LIXEIRA,30,24x70,408.32,B0H6NCDJ5C,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro Meia Lua em Aço Inox 30 Litros 24x70 centímetros Prateada para Uso Interno
L2470-B,LIXEIRA,30,24x70,398.35,B0H4W81CPN,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 30 Litros 24x70 cm Redonda Vai e Vem para Uso Interno
L2470-CZ,CINZEIRO_LIXEIRA,30,24x70,356.3,B0H3QLGVX5,ASHTRAY,FUMAÇA/Cigarros,A DECIDIR (ASHTRAY vs lixeira),SIM,,Cinzeiro Lixeira em Aço Inox 30 Litros 24x70 cm Redonda com Aro para Áreas Externas
L3040-A,LIXEIRA,30,30x40,296.92,B0H5MJTHK2,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox Polido 30 Litros 30x40 centímetros Prateada para Uso Interno
L3040-B,LIXEIRA,30,30x40,330.79,B0H5MGK37B,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 30 Litros 30x40 cm Redonda Flip Top para Uso Interno
L3050-A,LIXEIRA,35,30x50,369.74,B0H6R85LBZ,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,"Lixeira Aro em Aço Inox 35 Litros 30x50 cm Redonda Polida para Escritórios, Restaurante Cozinha"
L3050-B,LIXEIRA,35,30x50,413.32,B0H6KFGC4J,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox Redonda 35 Litros 30x50 cm Flip Top para Uso Interno
L3060-A,LIXEIRA,40,30x60,396.88,B0H6R5SYVL,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,"Lixeira Aro em Aço Inox 40 Litros 30x60 cm Prateada para Cozinhas, Escritórios e Clínicas"
L3060-AML,LIXEIRA,40,30x60,446.71,B0H6NFGH2Q,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Meia Lua em Aço Inox 40 Litros 30x60 cm Redonda Polida para Cozinha Banheiro Escritório
L3060-B,LIXEIRA,40,30x60,439.24,B0H6KK21H1,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 40 Litros 30x60 cm Redonda Flip Top para Uso Interno
L3070-A,LIXEIRA,50,30x70,507.78,B0H4W6B587,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox Polido 50 Litros 30x70 centímetros Prateada para Uso Interno
L3070-AML,LIXEIRA,50,30x70,526.32,B0H6NPM4QL,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro Meia Lua em Aço Inox 50 Litros 30x70 cm Polida para Cozinha e Escritório
L3070-B,LIXEIRA,50,30x70,543.85,B0H6KN61XR,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio
L3085-B,LIXEIRA,60,30x85,642.24,B0H51PF33S,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante Redonda em Aço Inox 60 Litros 30x85 centímetros Prateada Vai e Vem
L4050-A,LIXEIRA,62,40x50,571.15,B0H6R5XK94,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox 62 Litros 40x50 centímetros Redonda Polida para Uso Interno
L4050-B,LIXEIRA,62,40x50,650.63,B0H6GXK1SH,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 62 Litros 40x50 cm Redonda Tampa Vai e Vem para Uso Interno
L4060-A,LIXEIRA,75,40x60,635.32,B0H6R1Y63F,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox 75 Litros 40x60 cm Prateada para Empresa Clínica e Restaurante
L4060-B,LIXEIRA,75,40x60,691.86,B0H6H4NPN8,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 75 Litros 40x60 cm Redonda Tampa Vai e Vem para Uso Interno
L4070-B,LIXEIRA,88,40x70,712.14,B0H6H5CBPP,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante Vai e Vem em Aço Inox 88 Litros 40x70 cm Redonda para Uso Interno
L4075-B,LIXEIRA,95,40x75,810.5,B0H6H2BTKC,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 95 Litros 40x75 cm Redonda Tampa Vai e Vem para Uso Interno
L4080-A,LIXEIRA,100,40x80,814.08,B0H6QYZLYM,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox Polido 100 Litros 40x80 centímetros Prateada para Uso Interno
L4080-B,LIXEIRA,100,40x80,831.06,B0H6GSX6YM,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 100 Litros 40x80 cm Redonda Tampa Vai e Vem para Uso Interno
L4090-A,LIXEIRA,120,40x90,822.83,B0H6R1WBTM,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox 120 Litros 40x90 cm Prateada para Uso Interno Profissional
L4090-B,LIXEIRA,120,40x90,895.15,B0H6GQB9S3,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 120 Litros 40x90 cm Redonda Tampa Vai e Vem para Uso Interno
P1623,LIXEIRA_PEDAL,5,16x23,165.4,B0H4WYYG1W,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,"Lixeira com Pedal em Aço Inox 5 Litros 16x23 cm Redonda para Banheiro, Cozinha e Lavabo"
P2025,LIXEIRA_PEDAL,,20x25,198.79,B0H7L6HYFW,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira com Pedal em Aço Inox Pequena 07L 20x25 cm Tampa com Abertura Higiênica
P2030,LIXEIRA_PEDAL,10,20x30,219.68,B0H51H5B4D,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira com Pedal em Aço Inox 10 Litros 20x30 cm Redonda para Banheiro e Escritório
P2425,LIXEIRA_PEDAL,12,24x25,238.25,B0H7LG2168,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Inox Polido com Pedal 12 Litros 24x25 cm para Banheiro Cozinha Escritório
P2430,LIXEIRA_PEDAL,,24x30,244.29,B0H7KWNLZ4,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Redonda com Pedal Aço Inox 15L 24x30 cm Tampa Higiênica Abertura Sem Contato
P2440,LIXEIRA_PEDAL,,24x40,273.11,B0H7LGF1WN,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Redonda com Pedal em Aço Inox 20L 24x40 cm Tampa com Abertura Higiênica
P3040,LIXEIRA_PEDAL,30,30x40,380.01,B0H7LFY3JP,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira com Pedal em Aço Inox 30 Litros 30x40 cm Redonda Polida com Aro Removível
P3050,LIXEIRA_PEDAL,40,30x50,467.67,B0H6365DBF,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Aço Inox com Pedal 40 Litros 30x50 cm Redonda para Cozinha Escritório Clínica
P3050ALC,LIXEIRA_PEDAL,40,30x50,623.5,B0H6C92MLT,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira com Pedal e Alça em Aço Inox 40 Litros 30x50 cm Redonda para Cozinha e Escritório
P3060,LIXEIRA_PEDAL,50,30x60,511.42,B0H4NLBG1Y,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Aço Inox com Pedal 50 Litros 30x60 cm Redonda Prateada para Cozinha Escritório
P3060ALC,LIXEIRA_PEDAL,50,30x60,629.08,B0H5LJ939G,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira com Pedal e Alça em Aço Inox 50 Litros 30x60 cm Redonda para Uso Interno
P3070,LIXEIRA_PEDAL,60,30x70,616.18,B0H63FKGPJ,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Inox 60 Litros com Tampa Pedal 30x70 centímetros Redonda Aço Inox 430 Polido
P3070ALC,LIXEIRA_PEDAL,,,840.63,B0H735FC9N,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira Inox 60L com Pedal e Alça 30x70 Aço Inoxidável Polido Prateada para Uso Interno
P4050,LIXEIRA_PEDAL,65,40x50,701.76,B0H5MWNDKW,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira com Pedal em Aço Inox 430 65 Litros 40x50 cm Redonda para Cozinha e Uso Profissional
P4050ALC,LIXEIRA_PEDAL,65,40x50,912.46,B0H6GWVPP5,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira em Aço Inox com Pedal e Alças 65 Litros 40x50 cm Redonda para Uso Profissional
P4060,LIXEIRA_PEDAL,75,40x60,811.94,B0H7KTWPXB,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira com Pedal em Aço Inox 75 Litros 40x60 cm Redonda Polida para Uso Interno
P4060ALC,LIXEIRA_PEDAL,75,40x60,988.28,B0H6H25KJX,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira em Aço Inox com Pedal e Alças 75 Litros 40x60 cm Redonda para Uso Interno
P4070,LIXEIRA_PEDAL,80,40x70,820.96,B0H7L3J5DK,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira com Pedal em Aço Inox 80 Litros 40x70 cm Redonda Polida para Uso Interno
P4070ALC,LIXEIRA_PEDAL,80,40x70,1025.83,B0H6H1W988,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira Inox com Pedal e Alça 80 Litros 40x70 cm Redonda Prateada para Uso Interno
P4070RA,LIXEIRA_PEDAL,80,40x70,1290.49,B0H4NGLNQ4,TRASH_CAN,INDÚSTRIA/RiscoBio,17100596011,SIM,,Lixeira de Aço Inox com Pedal 80 Litros 40 x 70 centímetros com Rodízio Alça e Tampa
P4075,LIXEIRA_PEDAL,95,40x75,923.64,B0H7KZNQ9G,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira com Pedal em Aço Inox 95 Litros 40x75 cm Redonda Polida para Uso Interno
P4075ALC,LIXEIRA_PEDAL,95,40x75,1135.46,B0H72BV1KC,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira com Pedal em Aço Inox 95 Litros 40x75 cm com Alças para Hospital Hotel e Restaurante
P4080,LIXEIRA_PEDAL,100,40x80,1070.17,B0H63W8G49,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Inox com Pedal 100 Litros 40x80 cm Aço 430 Polido Cilíndrica para Cozinha e Uso Profissional
P4080ALC,LIXEIRA_PEDAL,100,40x80,1217.17,B0H72HJC34,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira com Pedal em Aço Inox 100 Litros 40x80 cm com Alças para Hospital Hotel Restaurante
P4090,LIXEIRA_PEDAL,120,40x90,1433.32,B0H7KTX9Y2,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira com Pedal em Aço Inox 120 Litros 40x90 cm Redonda Polida para Uso Interno
P4090ALC,LIXEIRA_PEDAL,,,1527.88,B0H72JR46M,TRASH_CAN,INDÚSTRIA/Latas,17100596011,SIM,,Lixeira Inox 120L com Pedal e Alças 40x90 Aço Inoxidável Polido Hospital Hotel Shopping
PG2450,PORTA_GUARDA_CHUVA,,24x50,234.12,B0H9T7X7WD,CLOTHES_RACK,CASA/Guarda-Chuva,node próprio — A PESQUISAR (não é lixeira),SIM,,Porta Guarda-Chuva em Aço Inox 25L 24x50 cm Redondo para Entrada Recepção Escritório
PG2460,PORTA_GUARDA_CHUVA,,24x60,248.75,B0H5MDZQDG,CLOTHES_RACK,CASA/Guarda-Chuva,node próprio — A PESQUISAR (não é lixeira),SIM,,Porta Guarda-Chuva em Aço Inox 24x60 cm Suporte para Guarda Chuvas Recepção e Escritório
PG2470,PORTA_GUARDA_CHUVA,30,24x70,360.6,B0H7T71WHG,CLOTHES_RACK,CASA/Guarda-Chuva,node próprio — A PESQUISAR (não é lixeira),SIM,,Porta Guarda-Chuva Redondo Aço Inox 24x70cm 30 Litros Cesto Organizador Para Entrada Recepção Escritório Hotéis
PG3060,PORTA_GUARDA_CHUVA,40,30x60,321.21,B0H7T7K23P,CLOTHES_RACK,CASA/Guarda-Chuva,node próprio — A PESQUISAR (não é lixeira),SIM,,Cesto Porta Guarda-Chuva Redondo em Aço Inox 40 Litros 30x60 cm Suporte Organizador para Entrada Recepção Escritório
PG3070,PORTA_GUARDA_CHUVA,50,30x70,451.17,B0H4S6J82Z,CLOTHES_RACK,CASA/Guarda-Chuva,node próprio — A PESQUISAR (não é lixeira),SIM,,Porta Guarda-Chuva em Aço Inox 50 Litros 30x70 cm Prateado para Recepção e Escritório
PG4050,PORTA_GUARDA_CHUVA,62,40x50,460.12,B0H7TBGPJJ,CLOTHES_RACK,CASA/Guarda-Chuva,node próprio — A PESQUISAR (não é lixeira),SIM,,Porta Guarda-Chuva em Aço Inox 62 Litros 40x50 cm Redondo para Recepção Escritório Hotel
PG4080,PORTA_GUARDA_CHUVA,100,40x80,639.57,B0H7T8WJFK,CLOTHES_RACK,CASA/Guarda-Chuva,node próprio — A PESQUISAR (não é lixeira),SIM,,Porta Guarda-Chuva em Aço Inox 100 Litros 40x80 cm Redondo para Recepção Escritório Hotel
PXM,SUPORTE_EXTINTOR,,20x50,203.54,B0H4S3FHG6,MOUNT_BRACKET,FERRAM/Extintor,MOUNT_BRACKET (provável OK — não é o erro),SIM,,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas
PXP,SUPORTE_EXTINTOR,,16x31,167.89,B0H4S7ZKXS,MOUNT_BRACKET,FERRAM/Extintor,MOUNT_BRACKET (provável OK — não é o erro),SIM,,Suporte de Chão para Extintor de Incêndio de 4 kg em Aço Inox 16x31 cm Redondo Porta Extintor
Q2430-A,LIXEIRA,15,24x30,231.21,B0H7XXH5GV,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro Quadrada em Aço Inox 15 Litros 24x30 cm Polida para Banheiro Escritório Cozinha
Q2430-B,LIXEIRA,15,24x30,273.9,B0H4X43F5T,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante Quadrada em Aço Inox 15 Litros 24x30 centímetros com Tampa Vai e Vem
Q2460-A,LIXEIRA,30,24x60,349.45,B0H4P1FFWQ,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro Quadrada de Aço Inox 30 Litros 24x60 cm Polida para Ambientes Internos
Q2460-B,LIXEIRA,30,24x60,360.97,B0H7YNMBBK,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante Quadrada em Aço Inox 30 Litros 24x60 cm com Tampa Flip Top Polida
Q3060-A,LIXEIRA,50,30x60,580.52,B0H51P391G,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro Quadrada em Aço Inox 50 Litros 30x60 centímetros Prateada para Uso Interno
Q3060-B,LIXEIRA,50,30x60,532.93,B0H51M7C59,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante Quadrada em Aço Inox 50 Litros 30x60 centímetros com Tampa Vai e Vem
Q4070-A,LIXEIRA,100,40x70,1053.17,B0H7ZGZ8DK,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro Quadrada em Aço Inox 100 Litros 40x70 centímetros com Tampa e Aro Removível
Q4070-B,LIXEIRA,100,40x70,1116.81,B0H7Z38T63,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Quadrada Basculante em Aço Inox 100 Litros 40x70 cm Tampa Vai-Vem Polida
SP-01,COLETOR_BITUCAS,,27x92,475.31,B0H5Z1XK3V,TRASH_CAN,FUMAÇA/Cigarros,A DECIDIR (política fumo / node),NÃO,excluído da migração (política fumo — caso 21652133321),Coletor de Bitucas Inox de Chão Space Redondo com Tampa 27x92 cm para Empresas e Condomínios
SP-FF,COLETOR_BITUCAS,,,457.17,B0H5X821QS,ASHTRAY,FUMAÇA/Cigarros,A DECIDIR (política fumo / node),SIM,,Coletor de Bitucas Space Fixa em Aço Inox Circular Prateada com Tampa para Áreas Externas
SP-PP,COLETOR_BITUCAS,,,258.97,B0H5X97DR7,ASHTRAY,FUMAÇA/Cigarros,A DECIDIR (política fumo / node),SIM,,Coletor de Bitucas Space de Parede em Aço Inox Polido com Tampa e Fixação para Paredes
SP-T,COLETOR_BITUCAS,,,462.37,B0H3MGC36H,ASHTRAY,FUMAÇA/Cigarros,A DECIDIR (política fumo / node),NÃO,excluído da migração (política fumo — caso 21652133321),Coletor de Bitucas Space Torre em Aço Inox Polido com Tampa para Áreas Internas e Externas
PQ-3060,LIXEIRA_PEDAL,50,30x60,721.69,B0H4S2WXFB,,,17100596011,SIM,,Lixeira Quadrada em Aço Inox com Pedal 50 Litros 30x60 cm Tampa Sobreposta Prateada
