ASIN (parent),ASIN (child),Título,Sessões - Total,Porcentagem de sessões – Total,Visualizações da página - Total,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido
B0H72HJC34,B0H72HJC34,Lixeira com Pedal em Aço Inox 100 Litros 40x80 cm com Alças para Hospital Hotel Restaurante,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H72JR46M,B0H72JR46M,Lixeira Inox 120L com Pedal e Alças 40x90 Aço Inoxidável Polido Hospital Hotel Shopping,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H735FC9N,B0H735FC9N,Lixeira Inox 60L com Pedal e Alça 30x70 Aço Inoxidável Polido Prateada para Uso Interno,1,0.31%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H73CH37Y,B0H73CH37Y,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa Preta para Bancada Pequena,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H77661G6,B0H77661G6,Lixeira de Aço Inox com Tampa 10 Litros 20x30 cm para Banheiro Cozinha Escritório,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H77J9YF2,B0H77J9YF2,Lixeira de Embutir Inox 5L com Tampa Preta para Pia de Cozinha com Balde Interno,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H77M42RM,B0H77M42RM,Lixeira de Embutir Redonda Inox 8 Litros para Pia Cozinha com Balde de Alumínio,4,1.24%,4,1.01%,100.00%,0,0.00%,"R$ 0,00",0
B0H7KTX9Y2,B0H7KTX9Y2,Lixeira com Pedal em Aço Inox 120 Litros 40x90 cm Redonda Polida para Uso Interno,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H7KWNLZ4,B0H7KWNLZ4,Lixeira Redonda com Pedal Aço Inox 15L 24x30 cm Tampa Higiênica Abertura Sem Contato,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H7L3J5DK,B0H7L3J5DK,Lixeira com Pedal em Aço Inox 80 Litros 40x70 cm Redonda Polida para Uso Interno,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H7L6HYFW,B0H7L6HYFW,Lixeira com Pedal em Aço Inox Pequena 07L 20x25 cm Tampa com Abertura Higiênica,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H7LFY3JP,B0H7LFY3JP,Lixeira com Pedal em Aço Inox 30 Litros 30x40 cm Redonda Polida com Aro Removível,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H7LG2168,B0H7LG2168,Lixeira Inox Polido com Pedal 12 Litros 24x25 cm para Banheiro Cozinha Escritório,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H7LGF1WN,B0H7LGF1WN,Lixeira Redonda com Pedal em Aço Inox 20L 24x40 cm Tampa com Abertura Higiênica,4,1.24%,4,1.01%,100.00%,0,0.00%,"R$ 0,00",0
B0H7T71WHG,B0H7T71WHG,Porta Guarda-Chuva Redondo Aço Inox 24x70cm 30 Litros Cesto Organizador Para Entrada Recepção Escritório Hotéis,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H7T8WJFK,B0H7T8WJFK,Porta Guarda-Chuva em Aço Inox 100 Litros 40x80 cm Redondo para Recepção Escritório Hotel,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H7XXH5GV,B0H7XXH5GV,Lixeira Aro Quadrada em Aço Inox 15 Litros 24x30 cm Polida para Banheiro Escritório Cozinha,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H7YNMBBK,B0H7YNMBBK,Lixeira Basculante Quadrada em Aço Inox 30 Litros 24x60 cm com Tampa Flip Top Polida,22,6.81%,26,6.53%,96.15%,0,0.00%,"R$ 0,00",0
B0H7Z38T63,B0H7Z38T63,Lixeira Quadrada Basculante em Aço Inox 100 Litros 40x70 cm Tampa Vai-Vem Polida,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H7ZGZ8DK,B0H7ZGZ8DK,Lixeira Aro Quadrada em Aço Inox 100 Litros 40x70 centímetros com Tampa e Aro Removível,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
