Identificador da campanha,Nome da campanha,ID da conta do anunciante,Produto de anúncio,Intervalo de datas,Moeda do orçamento,Parcela de impressões no topo da pesquisa,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas
"=""19556674217425""",Campanha de Palavra-Chave- P3070-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,5.9072%,423,2,0.4728%,1.37500,2.75,0.00,0.00000,0,0
"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,2.3819%,5581,25,0.4479%,1.02280,25.57,0.00,0.00000,0,0
"=""205120134950364""",campanha automática individual- L2450--CZ-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 29 de jul. de 2026,BRL,2.1421%,1059,1,0.0944%,0.93000,0.93,0.00,0.00000,0,0
"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 10 de ago. de 2026,BRL,0.0000%,111,5,4.5045%,0.44800,2.24,0.00,0.00000,0,0
"=""227010809046493""",campanha automática individual- L2470-CZ-o102/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 29 de jul. de 2026,BRL,1.5616%,689,2,0.2903%,1.46500,2.93,0.00,0.00000,0,0
"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,13 de ago. de 2026 - 21 de ago. de 2026,BRL,83.3333%,18,0,0.0000%,,0.00,0.00,,0,0
"=""229314137254983""",Campanha de Produto Indicado- SP-FF-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,1.9608%,413,2,0.4843%,0.49000,0.98,0.00,0.00000,0,0
"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,1.9181%,53505,321,0.5999%,0.59536,191.11,3152.69,16.49673,6,9
"=""234950194216241""",campanha automática individual- SP-PP-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,0.1138%,20016,14,0.0699%,0.97214,13.61,0.00,0.00000,0,0
"=""245513710362262""",Campanha de Palavra-Chave- L2030-B-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,5.5485%,296,2,0.6757%,1.22000,2.44,0.00,0.00000,0,0
"=""246652946970837""",campanha automática individual- L2470-B-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 28 de jul. de 2026,BRL,0.1575%,401,4,0.9975%,0.47250,1.89,0.00,0.00000,0,0
"=""252196439586079""",Campanha de Palavra-Chave- PXM-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 10 de ago. de 2026,BRL,48.8372%,50,0,0.0000%,,0.00,0.00,,0,0
"=""253216233355680""",Campanha de Produto Indicado- L2450-AML-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 29 de jul. de 2026,BRL,1.6367%,470,4,0.8511%,0.88750,3.55,0.00,0.00000,0,0
"=""28062808738738""",campanha automática individual- SP-01-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 17 de ago. de 2026,BRL,0.0432%,516,2,0.3876%,0.75000,1.50,0.00,0.00000,0,0
"=""3262494915796""",Campanha de Produto Indicado- P3050-o228/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,0.4085%,3009,16,0.5317%,0.64938,10.39,0.00,0.00000,0,0
"=""39066415309857""",Campanha de Produto Indicado- PXP-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,25.0000%,517,2,0.3868%,0.65500,1.31,0.00,0.00000,0,0
"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,2.7368%,812,7,0.8621%,0.77857,5.45,0.00,0.00000,0,0
"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,11 de ago. de 2026 - 23 de ago. de 2026,BRL,25.8278%,172,4,2.3256%,0.87500,3.50,0.00,0.00000,0,0
"=""52546137799748""",campanha automática individual- L2440-AML-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,0.4351%,251,0,0.0000%,,0.00,0.00,,0,0
"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,3.6938%,1056,10,0.9470%,0.54700,5.47,0.00,0.00000,0,0
"=""58296046930587""",campanha automática individual- PG3070-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,1.7681%,586,1,0.1706%,0.75000,0.75,0.00,0.00000,0,0
"=""59761224759474""",Campanha de Palavra-Chave- L2450-AML-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,1.7327%,178,1,0.5618%,1.68000,1.68,0.00,0.00000,0,0
"=""60867425277707""",campanha automática inidividual- PXP-o311/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,0.5128%,5322,8,0.1503%,0.84000,6.72,0.00,0.00000,0,0
"=""6383857296458""",campanha automática individual- P3050-o102/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 29 de jul. de 2026,BRL,0.1664%,1115,8,0.7175%,0.88750,7.10,0.00,0.00000,0,0
"=""68539107677740""",Campanha de Palavra-Chave- L1618-A-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 29 de jul. de 2026,BRL,1.4085%,65,1,1.5385%,1.06000,1.06,0.00,0.00000,0,0
"=""70139439261043""",Campanha de Palavra-Chave- L2440-AML-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,3.6092%,519,1,0.1927%,0.79000,0.79,0.00,0.00000,0,0
"=""70230654464817""",Campanha de Produto Indicado- L2440-AML-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 29 de jul. de 2026,BRL,2.9915%,479,3,0.6263%,0.84000,2.52,0.00,0.00000,0,0
"=""7243834473931""",Campanha de Produto Indicado- PG3070-o228/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,7.8113%,682,1,0.1466%,0.79000,0.79,0.00,0.00000,0,0
"=""74625636500610""",campanha automática individual- L2030-B-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 28 de jul. de 2026,BRL,0.1622%,446,1,0.2242%,1.34000,1.34,0.00,0.00000,0,0
"=""78244851008766""",Campanha automática individual EGC,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,11 de ago. de 2026 - 23 de ago. de 2026,BRL,0.0000%,361,2,0.5540%,0.55500,1.11,0.00,0.00000,0,0
"=""81989474043493""",Campanha de Produto Indicado- P4080-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,6.5347%,312,4,1.2821%,0.45250,1.81,0.00,0.00000,0,0
"=""92632927256196""",campanha automática individual- L2450-AML-o102/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 29 de jul. de 2026,BRL,0.0510%,183,0,0.0000%,,0.00,0.00,,0,0
"=""957557930999""",Campanha de Produto Indicado- PXM-o311/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,4.0984%,905,1,0.1105%,0.59000,0.59,0.00,0.00000,0,0
"=""98086879114039""",Campanha de Produto Indicado- L2470-B-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 29 de jul. de 2026,BRL,0.0000%,40,0,0.0000%,,0.00,0.00,,0,0
