Identificador da campanha,Nome da campanha,ID da conta do anunciante,Produto de anúncio,Intervalo de datas,Moeda do orçamento,Parcela de impressões no topo da pesquisa,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas
"=""13641592450246""",Campanha de Palavra-Chave- PXP-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 10 de ago. de 2026,BRL,50.0000%,8,1,12.5000%,0.69000,0.69,0.00,0.00000,0,0
"=""139517395374433""",Campanha de Palavra-Chave- P4080-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,21.2963%,64,0,0.0000%,,0.00,0.00,,0,0
"=""151214408407609""",Campanha de Produto Indicado- SP-PP-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,0.0000%,96,0,0.0000%,,0.00,0.00,,0,0
"=""157934729939405""",Campanha automática inidividual- L1618-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 31 de ago. de 2026,BRL,0.0152%,42,2,4.7619%,0.47500,0.95,0.00,0.00000,0,0
"=""160875308766462""",Campanha de Palavra-Chave Cinzeiros,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 6 de set. de 2026,BRL,46.6667%,139,1,0.7194%,0.28000,0.28,0.00,0.00000,0,0
"=""163724971822822""",campanha automática individual- PXM-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 6 de set. de 2026,BRL,0.4868%,2079,7,0.3367%,0.88857,6.22,0.00,0.00000,0,0
"=""185052434192545""",Campanha de Palavra-Chave- L2470-B-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,4.8193%,81,0,0.0000%,,0.00,0.00,,0,0
"=""19556674217425""",Campanha de Palavra-Chave- P3070-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,4.3478%,89,1,1.1236%,1.99000,1.99,0.00,0.00000,0,0
"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 6 de set. de 2026,BRL,0.7520%,16078,42,0.2612%,1.09167,45.85,0.00,0.00000,0,0
"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 10 de ago. de 2026,BRL,0.0000%,23,0,0.0000%,,0.00,0.00,,0,0
"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,13 de ago. de 2026 - 4 de set. de 2026,BRL,95.4545%,49,2,4.0816%,0.45500,0.91,0.00,0.00000,0,0
"=""229314137254983""",Campanha de Produto Indicado- SP-FF-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,0.0000%,106,0,0.0000%,,0.00,0.00,,0,0
"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 6 de set. de 2026,BRL,1.6087%,66626,429,0.6439%,0.64303,275.86,2619.07,9.49420,6,8
"=""234950194216241""",campanha automática individual- SP-PP-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 6 de set. de 2026,BRL,0.1342%,36648,22,0.0600%,1.08182,23.80,0.00,0.00000,0,0
"=""245513710362262""",Campanha de Palavra-Chave- L2030-B-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,3.6585%,61,1,1.6393%,0.87000,0.87,0.00,0.00000,0,0
"=""252196439586079""",Campanha de Palavra-Chave- PXM-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 10 de ago. de 2026,BRL,50.0000%,10,0,0.0000%,,0.00,0.00,,0,0
"=""28062808738738""",campanha automática individual- SP-01-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,11 de ago. de 2026 - 17 de ago. de 2026,BRL,0.0399%,172,1,0.5814%,0.65000,0.65,0.00,0.00000,0,0
"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 25 de ago. de 2026,BRL,0.2609%,1509,2,0.1325%,0.88000,1.76,0.00,0.00000,0,0
"=""39066415309857""",Campanha de Produto Indicado- PXP-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 25 de ago. de 2026,BRL,15.1515%,355,2,0.5634%,0.65500,1.31,0.00,0.00000,0,0
"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 6 de set. de 2026,BRL,7.9595%,573,3,0.5236%,0.84333,2.53,0.00,0.00000,0,0
"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,11 de ago. de 2026 - 6 de set. de 2026,BRL,26.5823%,285,4,1.4035%,0.87500,3.50,0.00,0.00000,0,0
"=""52546137799748""",campanha automática individual- L2440-AML-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,4.1667%,45,0,0.0000%,,0.00,0.00,,0,0
"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 25 de ago. de 2026,BRL,3.3323%,523,1,0.1912%,0.10000,0.10,0.00,0.00000,0,0
"=""58296046930587""",campanha automática individual- PG3070-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 25 de ago. de 2026,BRL,1.8303%,323,0,0.0000%,,0.00,0.00,,0,0
"=""59761224759474""",Campanha de Palavra-Chave- L2450-AML-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,1.8692%,42,0,0.0000%,,0.00,0.00,,0,0
"=""60867425277707""",campanha automática inidividual- PXP-o311/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 6 de set. de 2026,BRL,0.7341%,2654,7,0.2638%,0.56143,3.93,0.00,0.00000,0,0
"=""70139439261043""",Campanha de Palavra-Chave- L2440-AML-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,3.2189%,126,0,0.0000%,,0.00,0.00,,0,0
"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,12 de ago. de 2026 - 6 de set. de 2026,BRL,2.2687%,813,2,0.2460%,0.89000,1.78,0.00,0.00000,0,0
"=""78244851008766""",Campanha automática individual EGC,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,11 de ago. de 2026 - 6 de set. de 2026,BRL,0.0000%,2391,3,0.1255%,0.61333,1.84,0.00,0.00000,0,0
"=""81989474043493""",Campanha de Produto Indicado- P4080-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,7.1970%,54,2,3.7037%,0.54500,1.09,0.00,0.00000,0,0
"=""957557930999""",Campanha de Produto Indicado- PXM-o311/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 6 de set. de 2026,BRL,0.7519%,638,1,0.1567%,0.59000,0.59,0.00,0.00000,0,0
